------------------------------------------------------------
team1     	score     	team2     	score     	Pitcher
------------------------------------------------------------
김민혁       	김민혁       	12        	김민혁       	김민혁
김민혁       	김민혁       	kt        	2         	김민혁
키움        	0         	두산        	0         	키움
키움        	0         	두산        	0         	키움
키움        	0         	두산        	0         	키움
키움        	0         	두산        	0         	키움
키움        	0         	두산        	1         	김민혁
키움        	0         	두산        	1         	김민혁
키움        	0         	두산        	1         	김민혁
키움        	0         	두산        	1         	김민혁
키움        	0         	두산        	1         	김민혁
키움        	0         	두산        	1         	키움
kt        	김민혁       	kia       	김민혁       	nc
키움        	0         	두산        	2         	김민혁
키움        	0         	두산        	2         	김민혁
키움        	0         	두산        	2         	하준영
키움        	0         	두산        	2         	하준영
김민혁       	김민혁       	1         	김민혁       	김민혁
키움        	0         	두산        	4         	이종민
10        	김민혁       	김민혁       	김민혁       	kia
김민혁       	lg        	김민혁       	ssg       	김민혁
키움        	0         	두산        	7         	김민혁
nc        	1         	kia       	김민혁       	kia
키움        	0         	두산        	10        	최승용
김민혁       	김민혁       	김민혁       	김민혁       	김민혁
------------------------------------------------------------
team1     	score     	team2     	score     	Pitcher
------------------------------------------------------------
곽빈        	곽빈        	12        	곽빈        	곽빈
곽빈        	곽빈        	kt        	2         	곽빈
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	맥키니
kt        	김건희       	kia       	김건희       	nc
키움        	0         	두산        	2         	김건희
키움        	0         	두산        	2         	김건희
키움        	0         	두산        	2         	하준영
키움        	0         	두산        	2         	하준영
김건희       	김건희       	1         	김건희       	김건희
키움        	0         	두산        	4         	이종민
10        	김건희       	김건희       	김건희       	kia
김건희       	lg        	김건희       	ssg       	김건희
키움        	0         	두산        	7         	김건희
nc        	1         	kia       	김건희       	kia
키움        	0         	두산        	10        	최승용
김건희       	김건희       	김건희       	김건희       	김건희
------------------------------------------------------------
team1     	score     	team2     	score     	Pitcher
------------------------------------------------------------
김건희       	김건희       	12        	김건희       	김건희
ssg       	김건희       	김건희       	윤동희       	lg
김건희       	김건희       	kt        	2         	김건희
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
키움        	0         	두산        	0         	맥키니
10        	김건희       	김건희       	김건희       	14
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	김건희
키움        	0         	두산        	1         	맥키니
키움        	0         	두산        	1         	맥키니
키움        	0         	두산        	1         	맥키니
kt        	김건희       	kia       	김건희       	nc
김건희       	정수빈       	박세혁       	윤동희       	김진욱
키움        	0         	두산        	2         	김건희
키움        	0         	두산        	2         	김건희
키움        	0         	두산        	2         	김건희
키움        	0         	두산        	2         	하준영
키움        	0         	두산        	2         	하준영
키움        	0         	두산        	2         	하준영
키움        	0         	두산        	2         	하준영
두산        	kt        	김건희       	ssg       	김건희
